Abbreviation,Article,Journal,Volume,Number
Tri20,Trifonov et al. 2020,Science,371,1038
Tuo14,Tuomiet al. 2014,MNRAS,441,1545
TYC2 ,Hog et al. 2000,A&A,355,27
UCAC3,Zacharias et al. 2010,AJ,139,6
UCAC4,Zacharias et al. 2013,AJ,145,2
Udr07,Udry et al. 2007,A&A,469,43
US-B1 ,Monet et al. 2003,AJ,125,984
vAl95 ,van Altena et al. 1995,General Catalogue of Trigonometric Stellar Parallaxes,,
Vri20,Vrijmoet et al. 2020,AJ,160,5
Wat06,Watson 2006,SAS Symposium,25,47
WD15,Ward-Duong et al. 2015,MNRAS,449,2618
Wein16,Weinberger et al. 2016,AJ,152,24
West15,West et al. 2015,ApJ,812,3
Whi07,White et al. 2007,AJ,133,2524
Whi89,White et al. 1989,ApJS,71,895
Win19,Winters et al. 2019,AJ,157,6
WISE,Cutri et al. 2012,yCat,2311,0
Woi00,Woitas et al. 2000,A&A,353,253
Wol17,Wolthoff 2017,MSc thesis,Heidelberg Universitaet,Germany
Wri16,Wright et al. 2016,ApJ,817,20
Yi14,Yi et al. 2014,AJ,147,33
Zas09,Zasche et al. 2009,AJ,138,664
Zec09,Zechmeister et al. 2009,A&A,505,859
Zec19,Zechmesiter et al. 2019,A&A,627,49
Zuc04,Zuckerman et al. 2004,ApJ,613,65
Zuc11,Zuckerman et al. 2011,ApJ,732,61
