Column,Label,Format,Units,Remarks,Explanations
160,Ref39,String,---,,Reference for angular separation
161,CloseCompanionSpT,String,---,,"Spectral type of ""close"" companion"
162,RV,String,---,,In past or current radial-velocity searches for planets
163,Planet,String,---,,Known exoplanet flag
164,PlanetNum,Short,---,,Number of discovered exoplanets
165,Ref40,String,---,,Reference for planet(s) discovery
166,LoRes_spectrum,String,---,,Available low resolution spectra 
167,HiRes_spectrum,String,---,,Available high resolution spectra 
168,LoRes_imaging,String,---,,Available low resolution imaging 
169,HiRes_imaging,String,---,*,Available high resolution imaging
170,Class,String,---,*,Priority class
171,Survey,String,---,*,Survey membership
172,Notes,String,---,,Annotations
173,Gaia_id_1,Long,---,,Gaia EDR3 source identifier for primaries
174,2MASS_id,Long,---,,2MASS identifier
175,TIC_id,Long,---,,TIC identifier
176,TOI,String,---,,Tess Object of Interest number
