M/Ms    Teff     L/Ls   g    R      Li/Li0   Mv     Mr     Mi     Mj     Mh     Mk      Ml'   Mm 
0.050   907.   -5.35  5.26  0.086    0.921  43.03  35.38  31.77  22.53  18.74  15.95  12.57  12.11
0.055   990.   -5.21  5.32  0.085    0.284  39.43  32.76  29.36  21.21  17.78  15.26  12.23  11.95
0.060  1097.   -5.04  5.37  0.084    0.000  35.60  29.92  26.76  19.74  16.75  14.50  11.81  11.74
0.070  1593.   -4.36  5.40  0.087    0.000  25.54  22.08  19.67  15.23  13.39  12.13  10.73  10.84
0.072  1754.   -4.18  5.40  0.089    0.000  22.96  19.93  17.58  13.63  12.43  11.68  10.54  10.66
0.075  1998.   -3.92  5.38  0.092    0.000  21.31  18.55  16.14  12.62  11.80  11.34  10.32  10.50
0.080  2295.   -3.61  5.34  0.100    0.000  19.12  16.77  14.32  11.57  11.03  10.73   9.91  10.20
0.090  2621.   -3.28  5.29  0.113    0.000  16.85  15.02  12.86  10.75  10.29  10.01   9.39   9.65
0.100  2791.   -3.08  5.25  0.124    0.000  15.68  14.10  12.16  10.33   9.86   9.59   9.05   9.26
