Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.01471 0.00000 8.60206 0.0900000036 1.2268934250    0.090 -3.206  3.3798  5.070    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.69e-17      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 12.785 21.788 19.309 17.518 15.418 13.194 10.713 10.107 9.805
0.01471 0.00000 8.60206 0.0970296636 1.2881453037    0.097 -3.131  3.3925  5.078    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.71e-17      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 12.598 21.617 19.129 17.335 15.232 13.007 10.526 9.919 9.618
0.01471 0.00000 8.60206 0.1000000015 1.3127751350    0.100 -3.100  3.3979  5.082    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.17e-17      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 12.521 21.546 19.054 17.259 15.155 12.930 10.448 9.841 9.540
0.01471 0.00000 8.60206 0.1053954810 1.3556718826    0.105 -3.049  3.4059  5.085    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 12.391 21.423 18.928 17.132 15.026 12.800 10.319 9.712 9.412
0.01471 0.00000 8.60206 0.1098235399 1.3891804218    0.110 -3.004  3.4125  5.085    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.08e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 12.280 21.311 18.816 17.020 14.915 12.689 10.207 9.600 9.300
0.01471 0.00000 8.60206 0.1200000048 1.4610745907    0.120 -2.904  3.4273  5.083    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-16      0.00 7.106e-01 2.746e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 12.031 20.494 18.176 16.415 14.434 12.297 9.982 9.373 9.072
0.01471 0.00000 8.60206 0.1216299459 1.4719892740    0.122 -2.892  3.4288  5.082    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.34e-16      0.00 7.106e-01 2.746e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.999 20.378 18.086 16.331 14.369 12.244 9.954 9.345 9.044
0.01471 0.00000 8.60206 0.1400000006 1.5848021507    0.140 -2.742  3.4450  5.057    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.82e-16      0.00 7.106e-01 2.746e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.624 19.194 17.135 15.449 13.665 11.672 9.617 9.005 8.705
0.01471 0.00000 8.60206 0.1599999964 1.6895382404    0.160 -2.619  3.4578  5.044    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.29e-16      0.00 7.106e-01 2.747e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.317 18.297 16.400 14.753 13.104 11.224 9.341 8.727 8.431
0.01471 0.00000 8.60206 0.2000000030 1.8572380543    0.200 -2.420  3.4762  5.016    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.34e-16      0.00 7.106e-01 2.747e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.820 17.050 15.349 13.757 12.281 10.563 8.887 8.271 7.985
