Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.01471 0.00000 7.26717 0.0900000036 1.0816895962    0.090 -2.244  3.4028  4.199    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.92e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.379 17.953 16.333 14.808 12.919 10.800 8.331 7.749 7.376
0.01471 0.00000 7.26717 0.0915055424 1.0959571600    0.092 -2.233  3.4039  4.200    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.95e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.353 17.930 16.308 14.783 12.894 10.774 8.305 7.724 7.350
0.01471 0.00000 7.26717 0.1000000015 1.1711064577    0.100 -2.176  3.4100  4.206    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.12e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.210 17.795 16.168 14.642 12.751 10.631 8.162 7.580 7.207
0.01471 0.00000 7.26717 0.1053265035 1.2141202688    0.105 -2.143  3.4135  4.209    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.22e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.128 17.718 16.088 14.561 12.670 10.549 8.079 7.497 7.125
0.01471 0.00000 7.26717 0.1200000048 1.3193155527    0.120 -2.058  3.4224  4.217    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.5e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.915 17.311 15.717 14.192 12.349 10.267 7.877 7.293 6.925
0.01471 0.00000 7.26717 0.1400000006 1.4384527206    0.140 -1.957  3.4333  4.226    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.9e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.662 16.628 15.115 13.604 11.866 9.866 7.645 7.058 6.700
0.01471 0.00000 7.26717 0.1688677222 1.5761119127    0.169 -1.834  3.4472  4.240    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.44e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.355 15.830 14.401 12.922 11.302 9.397 7.363 6.772 6.430
0.01471 0.00000 7.26717 0.1838522702 1.6360322237    0.184 -1.779  3.4531  4.246    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.71e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.217 15.494 14.097 12.626 11.056 9.196 7.236 6.643 6.309
0.01471 0.00000 7.26717 0.1922578365 1.6669325829    0.192 -1.751  3.4563  4.250    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.84e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.146 15.323 13.941 12.473 10.928 9.093 7.173 6.578 6.248
0.01471 0.00000 7.26717 0.2013178170 1.6983307600    0.201 -1.720  3.4596  4.252    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.04e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.070 15.141 13.775 12.310 10.792 8.983 7.103 6.507 6.181
