Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag
0.0152 0.01508 8.80000 0.0900000036 1.0816895962    0.090 -3.321  3.3709  5.149    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.37e-17      0.00 7.091e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 13.072 15.115 17.991 18.038 13.647
0.0152 0.01508 8.80000 0.0935640633 1.1149786711    0.094 -3.276  3.3781  5.150    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.85e-17      0.00 7.091e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.960 15.002 17.879 17.926 13.535
0.0152 0.01508 8.80000 0.1000000015 1.1711064577    0.100 -3.186  3.3916  5.143    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.02e-17      0.00 7.091e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.735 14.777 17.652 17.699 13.310
0.0152 0.01508 8.80000 0.1135893092 1.2755352259    0.114 -3.026  3.4138  5.126    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -9.7e-17      0.00 7.091e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.334 14.375 17.243 17.290 12.909
0.0152 0.01508 8.80000 0.1200000122 1.3193155527    0.120 -2.955  3.4237  5.119    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.12e-16      0.00 7.091e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.157 14.107 16.848 16.895 12.664
0.0152 0.01508 8.80000 0.1209495142 1.3255413771    0.121 -2.947  3.4246  5.118    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.14e-16      0.00 7.091e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.137 14.072 16.794 16.841 12.633
0.0152 0.01508 8.80000 0.1400000006 1.4384527206    0.140 -2.783  3.4431  5.092    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.59e-16      0.00 7.090e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.728 13.413 15.805 15.852 12.037
0.0152 0.01508 8.80000 0.1563583463 1.5205324888    0.156 -2.676  3.4541  5.076    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.95e-16      0.00 7.090e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.459 13.003 15.210 15.257 11.666
0.0152 0.01508 8.80000 0.1599999964 1.5372931957    0.160 -2.651  3.4565  5.071    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.05e-16      0.00 7.090e-01 2.758e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.399 12.913 15.079 15.126 11.584
0.0152 0.01508 8.80000 0.2000000030 1.6938791275    0.200 -2.438  3.4751  5.029    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.15e-16      0.00 7.089e-01 2.758e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.864 12.160 14.038 14.084 10.897
0.0152 0.01508 8.80000 0.2500000000 1.8403258324    0.250 -2.236  3.4916  4.991    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.67e-16      0.00 7.089e-01 2.758e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.361 11.480 13.128 13.174 10.275
0.0152 0.01508 8.80000 0.3027728200 1.9584338665    0.303 -2.072  3.5031  4.956    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.45e-16      0.00 7.088e-01 2.759e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.951 10.966 12.490 12.536 9.799
0.0152 0.01508 8.80000 0.3143301308 1.9807524681    0.314 -2.035  3.5055  4.945    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.99e-16      0.00 7.089e-01 2.758e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.858 10.853 12.352 12.398 9.693
0.0152 0.01508 8.80000 0.3500000238 2.0434176922    0.350 -1.933  3.5130  4.919    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.63e-16      0.00 7.092e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.603 10.537 11.963 12.010 9.400
0.0152 0.01508 8.80000 0.4000000358 2.1185026169    0.400 -1.783  3.5241  4.872    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.2e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.228 10.079 11.410 11.456 8.975
0.0152 0.01508 8.80000 0.4500000477 2.1822810173    0.450 -1.632  3.5359  4.818    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.7e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.850 9.621 10.865 10.911 8.551
0.0152 0.01508 8.80000 0.5000000000 2.2374541759    0.500 -1.476  3.5504  4.767    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.46e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.461 9.143 10.290 10.337 8.112
0.0152 0.01508 8.80000 0.5500000119 2.2836582661    0.550 -1.316  3.5696  4.724    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.56e-15      0.00 7.106e-01 2.742e-01 2.733e-03 7.374e-04 6.687e-03 -1.000 1.520e-02 8.060 8.622 9.652 9.699 7.646
0.0152 0.01508 8.80000 0.6000000238 2.3211214542    0.600 -1.155  3.5926  4.693    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.12e-15      0.00 7.108e-01 2.740e-01 2.731e-03 7.368e-04 6.683e-03 -1.000 1.517e-02 7.657 8.090 9.000 9.047 7.178
0.0152 0.01508 8.80000 0.6499999762 2.3520355225    0.650 -0.996  3.6183  4.672    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.26e-15      0.00 7.110e-01 2.737e-01 2.729e-03 7.363e-04 6.678e-03 -1.000 1.522e-02 7.260 7.568 8.364 8.412 6.722
0.0152 0.01508 8.80000 0.7000000477 2.3779268265    0.700 -0.843  3.6452  4.659    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.01e-14      0.00 7.112e-01 2.735e-01 2.727e-03 7.358e-04 6.674e-03 -1.000 1.523e-02 6.877 7.055 7.732 7.780 6.284
0.0152 0.01508 8.80000 0.7006300688 2.3782260418    0.701 -0.841  3.6455  4.658    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.02e-14      0.00 7.113e-01 2.735e-01 2.726e-03 7.358e-04 6.673e-03 -1.000 1.523e-02 6.872 7.048 7.724 7.772 6.279
0.0152 0.01508 8.80000 0.7354125381 2.3938357830    0.735 -0.738  3.6658  4.658    0  0.000  0.540     0.00     0.00     0.00     0.00     0.00 -1 -1.26e-14      0.00 7.115e-01 2.733e-01 2.699e-03 7.346e-04 6.670e-03 -1.000 1.517e-02 6.615 6.699 7.293 7.340 5.987
0.0152 0.01508 8.80000 0.7500000000 2.3998889923    0.750 -0.697  3.6740  4.658    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.37e-14      0.00 7.115e-01 2.734e-01 2.690e-03 7.345e-04 6.671e-03 -1.000 1.518e-02 6.511 6.562 7.128 7.173 5.872
0.0152 0.01508 8.80000 0.8000000119 2.4187245369    0.800 -0.566  3.6941  4.636    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.83e-14      0.00 7.118e-01 2.730e-01 2.687e-03 7.338e-04 6.665e-03 -1.000 1.517e-02 6.185 6.169 6.671 6.714 5.531
0.0152 0.01508 8.80000 0.8500000238 2.4350347519    0.850 -0.442  3.7129  4.613    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.43e-14      0.00 7.122e-01 2.727e-01 2.684e-03 7.329e-04 6.658e-03 -1.000 1.509e-02 5.874 5.809 6.260 6.300 5.216
0.0152 0.01508 8.80000 0.8997347355 2.4492080212    0.899 -0.324  3.7301  4.589    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.18e-14      0.00 7.126e-01 2.723e-01 2.680e-03 7.319e-04 6.649e-03 -1.000 1.514e-02 5.581 5.482 5.892 5.928 4.926
0.0152 0.01508 8.80000 0.9000000358 2.4492788315    0.899 -0.324  3.7302  4.589    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.19e-14      0.00 7.126e-01 2.723e-01 2.680e-03 7.319e-04 6.649e-03 -1.000 1.514e-02 5.579 5.480 5.890 5.926 4.925
0.0152 0.01508 8.80000 0.9500000477 2.4618122578    0.950 -0.211  3.7458  4.562    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.15e-14      0.00 7.132e-01 2.717e-01 2.675e-03 7.306e-04 6.637e-03 -1.000 1.512e-02 5.297 5.176 5.548 5.581 4.656
0.0152 0.01508 8.80000 1.0000000000 2.4729156494    1.000 -0.102  3.7599  4.532    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.38e-14      0.00 7.140e-01 2.709e-01 2.669e-03 7.289e-04 6.621e-03 -1.000 1.507e-02 5.025 4.892 5.232 5.261 4.404
0.0152 0.01508 8.80000 1.0499999523 2.4828116894    1.049  0.003  3.7726  4.499    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.44e-14      0.00 7.152e-01 2.698e-01 2.659e-03 7.262e-04 6.598e-03 -1.000 1.497e-02 4.764 4.625 4.936 4.962 4.167
0.0152 0.01508 8.80000 1.0694345236 2.4863722324    1.069  0.042  3.7771  4.485    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.88e-14      0.00 7.159e-01 2.692e-01 2.653e-03 7.247e-04 6.584e-03 -1.000 1.494e-02 4.665 4.524 4.825 4.850 4.078
