Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.01471 0.00000 7.60206 0.0900000036 1.0816895962    0.090 -2.470  3.4055  4.436    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.71e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.944 18.895 17.055 15.466 13.525 11.372 8.888 8.301 7.943
0.01471 0.00000 7.60206 0.0930593014 1.1103651524    0.093 -2.448  3.4081  4.439    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.98e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.889 18.844 17.001 15.412 13.470 11.317 8.833 8.246 7.888
0.01471 0.00000 7.60206 0.1000000015 1.1711064577    0.100 -2.397  3.4140  4.443    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.69e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.762 18.724 16.877 15.287 13.344 11.190 8.706 8.119 7.761
0.01471 0.00000 7.60206 0.1067323610 1.2250034809    0.107 -2.353  3.4190  4.447    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.03e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.653 18.528 16.700 15.112 13.189 11.052 8.601 8.013 7.657
0.01471 0.00000 7.60206 0.1200000048 1.3193155527    0.120 -2.271  3.4284  4.454    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.17e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.448 17.917 16.183 14.608 12.781 10.717 8.415 7.824 7.474
0.01471 0.00000 7.60206 0.1390170902 1.4331268072    0.139 -2.170  3.4399  4.463    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.35e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.196 17.202 15.568 14.021 12.302 10.322 8.186 7.592 7.252
0.01471 0.00000 7.60206 0.1400000006 1.4384527206    0.140 -2.165  3.4404  4.463    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.36e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.184 17.169 15.539 13.993 12.279 10.303 8.175 7.581 7.241
0.01471 0.00000 7.60206 0.1599999964 1.5372931957    0.160 -2.076  3.4504  4.472    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.55e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.961 16.574 15.018 13.495 11.870 9.967 7.973 7.376 7.046
0.01471 0.00000 7.60206 0.2212936878 1.7614940405    0.221 -1.864  3.4729  4.491    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.1e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.430 15.303 13.879 12.387 10.946 9.223 7.491 6.886 6.580
0.01471 0.00000 7.60206 0.2491019368 1.8380409479    0.249 -1.787  3.4808  4.497    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.34e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.238 14.880 13.491 12.009 10.626 8.968 7.316 6.708 6.411
0.01471 0.00000 7.60206 0.2729226649 1.8952687979    0.273 -1.730  3.4866  4.503    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.53e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.095 14.581 13.210 11.728 10.384 8.781 7.189 6.577 6.287
0.01471 0.00000 7.60206 0.2825183868 1.9165164232    0.282 -1.709  3.4889  4.505    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.61e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.042 14.468 13.104 11.621 10.292 8.712 7.142 6.528 6.240
0.01471 0.00000 7.60206 0.2941071987 1.9409599304    0.294 -1.682  3.4915  4.506    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.72e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.974 14.334 12.979 11.500 10.187 8.627 7.080 6.465 6.180
0.01471 0.00000 7.60206 0.3000000119 1.9529139996    0.300 -1.669  3.4928  4.507    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.78e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.941 14.272 12.920 11.443 10.138 8.586 7.050 6.434 6.151
0.01471 0.00000 7.60206 0.3167013228 1.9851998091    0.317 -1.634  3.4961  4.509    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.92e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.855 14.110 12.767 11.298 10.011 8.481 6.971 6.352 6.073
0.01471 0.00000 7.60206 0.3500000238 2.0434176922    0.350 -1.571  3.5022  4.513    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.2e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.696 13.818 12.489 11.033 9.780 8.289 6.825 6.202 5.930
0.01471 0.00000 7.60206 0.3815232515 2.0922529697    0.381 -1.514  3.5079  4.517    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.48e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.554 13.560 12.242 10.797 9.574 8.119 6.696 6.068 5.803
0.01471 0.00000 7.60206 0.4000000358 2.1185026169    0.400 -1.483  3.5110  4.519    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.64e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.477 13.423 12.110 10.670 9.463 8.027 6.626 5.995 5.733
0.01471 0.00000 7.60206 0.4500000179 2.1822810173    0.450 -1.398  3.5198  4.520    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.17e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.264 13.051 11.747 10.321 9.155 7.776 6.434 5.794 5.541
0.01471 0.00000 7.60206 0.4810310304 2.2174031734    0.481 -1.347  3.5257  4.522    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.53e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.137 12.832 11.528 10.109 8.968 7.627 6.322 5.676 5.429
0.01471 0.00000 7.60206 0.5000000000 2.2374541759    0.500 -1.317  3.5288  4.522    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.75e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.063 12.708 11.405 9.989 8.862 7.542 6.256 5.608 5.363
0.01471 0.00000 7.60206 0.5101201534 2.2476491928    0.510 -1.302  3.5308  4.523    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.87e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.025 12.640 11.336 9.922 8.804 7.496 6.222 5.572 5.329
0.01471 0.00000 7.60206 0.5457397103 2.2800993919    0.545 -1.239  3.5378  4.517    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.47e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.868 12.383 11.076 9.672 8.581 7.317 6.083 5.427 5.189
0.01471 0.00000 7.60206 0.5500000119 2.2836582661    0.550 -1.232  3.5387  4.516    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.55e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.849 12.352 11.044 9.642 8.553 7.295 6.066 5.409 5.172
