Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.01471 0.00000 7.04139 0.0900000036 1.0816895962    0.090 -2.093  3.3997  4.036    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.29e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.002 17.316 15.848 14.367 12.514 10.418 7.959 7.381 6.997
0.01471 0.00000 7.04139 0.0960138142 1.1369184256    0.096 -2.054  3.4038  4.042    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.45e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.905 17.229 15.755 14.272 12.419 10.322 7.863 7.284 6.901
0.01471 0.00000 7.04139 0.1000000015 1.1711064577    0.100 -2.029  3.4064  4.045    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.57e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.843 17.171 15.695 14.211 12.357 10.259 7.800 7.222 6.838
0.01471 0.00000 7.04139 0.1200000048 1.3193155527    0.120 -1.917  3.4182  4.058    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.16e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.562 16.849 15.371 13.885 12.043 9.956 7.522 6.942 6.562
0.01471 0.00000 7.04139 0.1358871162 1.4158352613    0.136 -1.838  3.4264  4.067    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.63e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.366 16.381 14.946 13.461 11.689 9.658 7.340 6.759 6.385
0.01471 0.00000 7.04139 0.1502132565 1.4910664558    0.150 -1.774  3.4337  4.075    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.05e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.204 15.959 14.564 13.089 11.381 9.402 7.191 6.608 6.243
0.01471 0.00000 7.04139 0.1537922323 1.5084140301    0.154 -1.759  3.4355  4.078    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.16e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.167 15.861 14.475 13.003 11.311 9.343 7.157 6.573 6.210
0.01471 0.00000 7.04139 0.1561637521 1.5196225643    0.156 -1.748  3.4367  4.078    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.25e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.140 15.794 14.414 12.946 11.263 9.303 7.132 6.547 6.186
0.01471 0.00000 7.04139 0.1633963585 1.5524840355    0.163 -1.718  3.4399  4.081    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.48e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.066 15.609 14.246 12.785 11.129 9.190 7.063 6.478 6.121
0.01471 0.00000 7.04139 0.1763930768 1.6070317030    0.176 -1.669  3.4455  4.087    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.87e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.943 15.303 13.966 12.517 10.906 9.004 6.950 6.363 6.014
0.01471 0.00000 7.04139 0.1904888600 1.6605772972    0.190 -1.618  3.4514  4.094    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -6.3e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.816 14.989 13.678 12.239 10.675 8.814 6.834 6.245 5.904
0.01471 0.00000 7.04139 0.2022901773 1.7015912533    0.202 -1.580  3.4558  4.099    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.63e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.721 14.766 13.470 12.034 10.504 8.675 6.748 6.156 5.821
