Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.01471 0.00000 7.69897 0.0900000036 1.2268934250    0.090 -2.537  3.4056  4.504    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.89e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.113 19.173 17.269 15.662 13.705 11.543 9.055 8.466 8.113
0.01471 0.00000 7.69897 0.0981355309 1.2973972559    0.098 -2.476  3.4130  4.510    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.55e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.960 19.029 17.119 15.510 13.552 11.389 8.902 8.313 7.960
0.01471 0.00000 7.69897 0.1000000015 1.3127751350    0.100 -2.463  3.4147  4.511    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.69e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.927 18.998 17.087 15.478 13.519 11.356 8.868 8.280 7.926
0.01471 0.00000 7.69897 0.1012675390 1.3230683804    0.101 -2.454  3.4157  4.512    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.79e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.906 18.962 17.054 15.445 13.490 11.330 8.848 8.259 7.906
0.01471 0.00000 7.69897 0.1138906181 1.4187245369    0.114 -2.372  3.4253  4.519    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.81e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.699 18.409 16.584 14.987 13.112 11.014 8.658 8.067 7.719
0.01471 0.00000 7.69897 0.1200000048 1.4610745907    0.120 -2.334  3.4299  4.523    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.32e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.606 18.101 16.327 14.737 12.913 10.853 8.575 7.982 7.637
0.01471 0.00000 7.69897 0.1263335049 1.5026406050    0.126 -2.299  3.4339  4.526    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -9.8e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.518 17.850 16.112 14.532 12.746 10.716 8.496 7.902 7.560
0.01471 0.00000 7.69897 0.1400000006 1.5848021507    0.140 -2.229  3.4420  4.532    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.341 17.353 15.684 14.125 12.414 10.442 8.335 7.739 7.404
0.01471 0.00000 7.69897 0.1599999964 1.6895382404    0.160 -2.140  3.4520  4.542    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.24e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.119 16.752 15.160 13.621 12.000 10.106 8.134 7.535 7.209
0.01471 0.00000 7.69897 0.2000000030 1.8572380543    0.200 -1.991  3.4680  4.554    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.53e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.747 15.832 14.343 12.829 11.343 9.579 7.797 7.193 6.883
0.01471 0.00000 7.69897 0.2478746921 2.0072505474    0.248 -1.852  3.4822  4.565    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.87e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.400 15.056 13.638 12.142 10.763 9.116 7.482 6.872 6.578
0.01471 0.00000 7.69897 0.2500000000 2.0129647255    0.250 -1.847  3.4828  4.566    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.89e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.387 15.027 13.610 12.115 10.739 9.098 7.470 6.859 6.566
0.01471 0.00000 7.69897 0.2907248139 2.1101689339    0.291 -1.750  3.4924  4.572    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.17e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.144 14.529 13.147 11.658 10.345 8.789 7.252 6.635 6.353
0.01471 0.00000 7.69897 0.3008966744 2.1313176155    0.301 -1.728  3.4946  4.575    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.23e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.091 14.424 13.048 11.564 10.264 8.723 7.203 6.586 6.306
0.01471 0.00000 7.69897 0.3265869021 2.1802344322    0.327 -1.676  3.4996  4.578    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.41e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.959 14.173 12.813 11.340 10.070 8.562 7.082 6.461 6.187
0.01471 0.00000 7.69897 0.3500000238 2.2197833061    0.350 -1.629  3.5037  4.578    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.59e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.843 13.968 12.619 11.155 9.907 8.426 6.976 6.352 6.083
0.01471 0.00000 7.69897 0.3921324015 2.2812087536    0.392 -1.551  3.5114  4.580    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.93e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.648 13.613 12.281 10.832 9.625 8.193 6.798 6.168 5.907
0.01471 0.00000 7.69897 0.4000000358 2.2915143967    0.400 -1.538  3.5127  4.581    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.99e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.614 13.555 12.225 10.778 9.576 8.153 6.767 6.136 5.876
0.01471 0.00000 7.69897 0.4500000179 2.3497259617    0.450 -1.445  3.5219  4.576    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.5e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.383 13.154 11.837 10.405 9.247 7.884 6.559 5.919 5.668
0.01471 0.00000 7.69897 0.4758461416 2.3756527901    0.476 -1.399  3.5273  4.576    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.79e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.267 12.949 11.635 10.210 9.075 7.748 6.456 5.812 5.565
0.01471 0.00000 7.69897 0.5000000000 2.3977856636    0.500 -1.357  3.5316  4.573    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.08e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.164 12.777 11.464 10.045 8.928 7.629 6.364 5.715 5.472
0.01471 0.00000 7.69897 0.5129925013 2.4089341164    0.513 -1.335  3.5345  4.573    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.25e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.107 12.679 11.365 9.950 8.844 7.563 6.314 5.663 5.423
0.01471 0.00000 7.69897 0.5500000119 2.4380378723    0.550 -1.257  3.5433  4.561    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.96e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.162e-04 6.496e-03 -1.000 1.476e-02 7.914 12.361 11.044 9.640 8.568 7.343 6.143 5.484 5.251
0.01471 0.00000 7.69897 0.5833840370 2.4613807201    0.583 -1.188  3.5532  4.556    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.67e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.162e-04 6.496e-03 -1.000 1.476e-02 7.740 12.063 10.735 9.340 8.301 7.143 5.996 5.330 5.105
0.01471 0.00000 7.69897 0.5913309455 2.4665813446    0.591 -1.171  3.5558  4.555    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.86e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.162e-04 6.496e-03 -1.000 1.476e-02 7.697 11.989 10.657 9.263 8.233 7.093 5.960 5.291 5.069
0.01471 0.00000 7.69897 0.6000000238 2.4721109867    0.600 -1.147  3.5592  4.551    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.17e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.162e-04 6.496e-03 -1.000 1.476e-02 7.637 11.889 10.552 9.160 8.141 7.025 5.909 5.238 5.019
0.01471 0.00000 7.69897 0.6184903383 2.4834301472    0.618 -1.095  3.5676  4.547    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.86e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.162e-04 6.495e-03 -1.000 1.476e-02 7.507 11.666 10.315 8.927 7.932 6.877 5.803 5.125 4.915
0.01471 0.00000 7.69897 0.6499999762 2.5013408661    0.650 -0.997  3.5847  4.539    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.43e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.162e-04 6.495e-03 -1.000 1.476e-02 7.263 11.248 9.866 8.493 7.541 6.605 5.606 4.913 4.725
0.01471 0.00000 7.69897 0.6577818394 2.5055098534    0.658 -0.970  3.5901  4.539    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.92e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.162e-04 6.495e-03 -1.000 1.476e-02 7.195 11.127 9.735 8.370 7.430 6.531 5.552 4.854 4.675
0.01471 0.00000 7.69897 0.6769435406 2.5153787136    0.677 -0.897  3.6052  4.538    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.162e-04 6.495e-03 -1.000 1.476e-02 7.011 10.800 9.378 8.047 7.143 6.332 5.403 4.698 4.544
0.01471 0.00000 7.69897 0.6960143447 2.5246772766    0.696 -0.820  3.6218  4.540    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.22e-14      0.00 7.107e-01 2.745e-01 2.654e-03 7.162e-04 6.495e-03 -1.000 1.476e-02 6.820 10.432 8.990 7.709 6.845 6.125 5.249 4.551 4.421
0.01471 0.00000 7.69897 0.7000000477 2.5265583992    0.700 -0.804  3.6253  4.541    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.26e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.162e-04 6.495e-03 -1.000 1.476e-02 6.780 10.345 8.903 7.636 6.782 6.082 5.218 4.524 4.398
0.01471 0.00000 7.69897 0.7098178864 2.5311050415    0.710 -0.756  3.6393  4.554    0  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.38e-14      0.00 7.107e-01 2.745e-01 2.647e-03 7.160e-04 6.495e-03 -1.000 1.476e-02 6.660 10.006 8.596 7.389 6.578 5.954 5.134 4.455 4.350
0.01471 0.00000 7.69897 0.7212915421 2.5362663269    0.721 -0.702  3.6546  4.569    0  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -1.52e-14      0.00 7.107e-01 2.745e-01 2.639e-03 7.157e-04 6.495e-03 -1.000 1.476e-02 6.525 9.541 8.254 7.119 6.361 5.807 5.042 4.403 4.311
0.01471 0.00000 7.69897 0.7317689061 2.5408425331    0.732 -0.656  3.6674  4.580    0  0.000  0.540     0.00     0.00     0.00     0.00     0.00 -1 -1.66e-14      0.00 7.107e-01 2.745e-01 2.632e-03 7.155e-04 6.496e-03 -1.000 1.476e-02 6.409 9.126 7.970 6.899 6.191 5.681 4.963 4.364 4.281
0.01471 0.00000 7.69897 0.7422757745 2.5453054905    0.742 -0.612  3.6792  4.589    0  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1 -1.81e-14      0.00 7.107e-01 2.745e-01 2.625e-03 7.153e-04 6.496e-03 -1.000 1.476e-02 6.299 8.741 7.716 6.703 6.043 5.564 4.890 4.333 4.254
0.01471 0.00000 7.69897 0.7484859228 2.5478863716    0.749 -0.598  3.6834  4.595    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.85e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.152e-04 6.496e-03 -1.000 1.475e-02 6.264 8.620 7.635 6.641 5.996 5.528 4.868 4.323 4.247
0.01471 0.00000 7.69897 0.7500000000 2.5485093594    0.750 -0.590  3.6852  4.596    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.88e-14      0.00 7.107e-01 2.745e-01 2.619e-03 7.152e-04 6.496e-03 -1.000 1.476e-02 6.246 8.566 7.599 6.612 5.974 5.509 4.855 4.316 4.241
0.01471 0.00000 7.69897 0.8000000119 2.5677938461    0.800 -0.490  3.7049  4.602    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.29e-14      0.00 7.108e-01 2.745e-01 2.619e-03 7.151e-04 6.495e-03 -1.000 1.476e-02 5.995 7.918 7.151 6.249 5.681 5.258 4.670 4.190 4.124
0.01471 0.00000 7.69897 0.8188947439 2.5744729042    0.819 -0.457  3.7117  4.607    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.43e-14      0.00 7.108e-01 2.745e-01 2.619e-03 7.151e-04 6.495e-03 -1.000 1.475e-02 5.913 7.708 7.008 6.134 5.588 5.178 4.613 4.152 4.089
0.01471 0.00000 7.69897 0.8449961543 2.5831959248    0.845 -0.415  3.7191  4.608    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.64e-14      0.00 7.108e-01 2.744e-01 2.619e-03 7.151e-04 6.495e-03 -1.000 1.474e-02 5.807 7.466 6.839 5.995 5.473 5.076 4.535 4.095 4.034
0.01471 0.00000 7.69897 0.8500000238 2.5848057270    0.850 -0.407  3.7207  4.609    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.67e-14      0.00 7.108e-01 2.744e-01 2.619e-03 7.151e-04 6.495e-03 -1.000 1.475e-02 5.789 7.420 6.809 5.970 5.452 5.058 4.522 4.086 4.026
0.01471 0.00000 7.69897 0.8876568079 2.5963227749    0.887 -0.343  3.7303  4.602    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.05e-14      0.00 7.108e-01 2.744e-01 2.618e-03 7.150e-04 6.494e-03 -1.000 1.476e-02 5.628 7.094 6.576 5.773 5.282 4.903 4.397 3.987 3.931
0.01471 0.00000 7.69897 0.8999999762 2.5998830795    0.899 -0.322  3.7334  4.600    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.18e-14      0.00 7.108e-01 2.744e-01 2.618e-03 7.150e-04 6.494e-03 -1.000 1.475e-02 5.575 6.990 6.500 5.710 5.227 4.854 4.357 3.956 3.901
0.01471 0.00000 7.69897 0.9258308411 2.6070191860    0.925 -0.279  3.7395  4.593    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.48e-14      0.00 7.108e-01 2.744e-01 2.618e-03 7.150e-04 6.494e-03 -1.000 1.475e-02 5.467 6.782 6.345 5.579 5.114 4.751 4.273 3.887 3.835
0.01471 0.00000 7.69897 0.9499999881 2.6133363247    0.950 -0.228  3.7463  4.580    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.93e-14      0.00 7.108e-01 2.744e-01 2.618e-03 7.150e-04 6.494e-03 -1.000 1.476e-02 5.339 6.532 6.169 5.431 4.987 4.634 4.176 3.806 3.757
0.01471 0.00000 7.69897 1.0000000000 2.6254127026    1.000 -0.126  3.7592  4.553    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.99e-14      0.00 7.109e-01 2.744e-01 2.618e-03 7.149e-04 6.493e-03 -1.000 1.476e-02 5.084 6.067 5.828 5.144 4.735 4.402 3.979 3.638 3.595
