Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag
0.0152 0.01508 9.30000 0.4992330074 2.2366628647    0.499 -1.475  3.5490  4.759    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.49e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.457 9.148 10.305 10.351 8.113
0.0152 0.01508 9.30000 0.5000000000 2.2374541759    0.500 -1.473  3.5493  4.759    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.5e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.451 9.141 10.296 10.343 8.107
0.0152 0.01508 9.30000 0.5500000119 2.2836582661    0.550 -1.311  3.5679  4.712    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.65e-15      0.00 7.139e-01 2.711e-01 2.704e-03 7.295e-04 6.616e-03 -1.000 1.504e-02 8.046 8.620 9.660 9.707 7.639
0.0152 0.01508 9.30000 0.6000000238 2.3211214542    0.600 -1.148  3.5908  4.679    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.28e-15      0.00 7.146e-01 2.703e-01 2.697e-03 7.278e-04 6.602e-03 -1.000 1.502e-02 7.639 8.083 9.001 9.048 7.165
0.0152 0.01508 9.30000 0.6234502196 2.3363304138    0.623 -1.070  3.6038  4.670    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.26e-15      0.00 7.149e-01 2.700e-01 2.695e-03 7.271e-04 6.595e-03 -1.000 1.501e-02 7.445 7.824 8.682 8.730 6.940
0.0152 0.01508 9.30000 0.6499999762 2.3520355225    0.650 -0.985  3.6180  4.660    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.55e-15      0.00 7.153e-01 2.697e-01 2.692e-03 7.263e-04 6.588e-03 -1.000 1.501e-02 7.232 7.543 8.340 8.388 6.696
0.0152 0.01508 9.30000 0.6869243383 2.3715736866    0.687 -0.868  3.6392  4.652    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.69e-15      0.00 7.158e-01 2.692e-01 2.688e-03 7.252e-04 6.578e-03 -1.000 1.496e-02 6.941 7.149 7.852 7.900 6.361
0.0152 0.01508 9.30000 0.7000000477 2.3779268265    0.700 -0.828  3.6464  4.649    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.06e-14      0.00 7.160e-01 2.691e-01 2.686e-03 7.249e-04 6.575e-03 -1.000 1.495e-02 6.841 7.014 7.686 7.733 6.247
0.0152 0.01508 9.30000 0.7500000000 2.3998889923    0.750 -0.679  3.6751  4.645    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.44e-14      0.00 7.166e-01 2.685e-01 2.646e-03 7.226e-04 6.564e-03 -1.000 1.493e-02 6.468 6.515 7.076 7.121 5.828
0.0152 0.01508 9.30000 0.7878983617 2.4144175053    0.788 -0.576  3.6909  4.626    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.82e-14      0.00 7.174e-01 2.677e-01 2.639e-03 7.208e-04 6.549e-03 -1.000 1.491e-02 6.211 6.204 6.715 6.759 5.558
0.0152 0.01508 9.30000 0.8000000119 2.4187245369    0.800 -0.544  3.6958  4.621    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.96e-14      0.00 7.176e-01 2.675e-01 2.637e-03 7.203e-04 6.544e-03 -1.000 1.490e-02 6.131 6.110 6.607 6.649 5.476
0.0152 0.01508 9.30000 0.8104168773 2.4223136902    0.810 -0.517  3.7000  4.615    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.09e-14      0.00 7.178e-01 2.673e-01 2.635e-03 7.198e-04 6.539e-03 -1.000 1.487e-02 6.063 6.030 6.514 6.556 5.406
0.0152 0.01508 9.30000 0.8500000238 2.4350347519    0.850 -0.415  3.7153  4.596    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.63e-14      0.00 7.188e-01 2.664e-01 2.628e-03 7.178e-04 6.521e-03 -1.000 1.477e-02 5.809 5.739 6.183 6.222 5.151
0.0152 0.01508 9.30000 0.9000000358 2.4492788315    0.899 -0.292  3.7330  4.568    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -3.5e-14      0.00 7.202e-01 2.651e-01 2.616e-03 7.146e-04 6.492e-03 -1.000 1.476e-02 5.501 5.397 5.800 5.836 4.848
0.0152 0.01508 9.30000 0.9431712031 2.4601905346    0.943 -0.189  3.7468  4.541    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.48e-14      0.00 7.218e-01 2.635e-01 2.603e-03 7.111e-04 6.461e-03 -1.000 1.466e-02 5.243 5.121 5.491 5.524 4.604
0.0152 0.01508 9.30000 0.9500000477 2.4618122578    0.949 -0.173  3.7489  4.537    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.66e-14      0.00 7.221e-01 2.633e-01 2.601e-03 7.105e-04 6.456e-03 -1.000 1.464e-02 5.204 5.079 5.444 5.476 4.567
0.0152 0.01508 9.30000 0.9855502248 2.4698398113    0.985 -0.091  3.7591  4.511    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -5.7e-14      0.00 7.239e-01 2.615e-01 2.586e-03 7.065e-04 6.420e-03 -1.000 1.457e-02 4.997 4.865 5.207 5.236 4.376
0.0152 0.01508 9.30000 1.0000000000 2.4729156494    1.000 -0.058  3.7631  4.500    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.17e-14      0.00 7.247e-01 2.608e-01 2.579e-03 7.047e-04 6.404e-03 -1.000 1.454e-02 4.915 4.780 5.113 5.141 4.300
0.0152 0.01508 9.30000 1.0077546835 2.4745244980    1.008 -0.040  3.7651  4.494    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.38e-14      0.00 7.252e-01 2.603e-01 2.575e-03 7.035e-04 6.393e-03 -1.000 1.452e-02 4.871 4.735 5.063 5.091 4.260
0.0152 0.01508 9.30000 1.0473568439 2.4823155403    1.047  0.049  3.7750  4.461    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.53e-14      0.00 7.283e-01 2.573e-01 2.550e-03 6.967e-04 6.332e-03 -1.000 1.441e-02 4.648 4.508 4.814 4.839 4.057
0.0152 0.01508 9.30000 1.0499999523 2.4828116894    1.049  0.055  3.7756  4.459    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.61e-14      0.00 7.285e-01 2.571e-01 2.548e-03 6.962e-04 6.328e-03 -1.000 1.440e-02 4.633 4.493 4.797 4.822 4.044
0.0152 0.01508 9.30000 1.0730986595 2.4870269299    1.072  0.106  3.7809  4.438    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -8.35e-14      0.00 7.312e-01 2.545e-01 2.525e-03 6.902e-04 6.274e-03 -1.000 1.425e-02 4.506 4.364 4.656 4.680 3.927
0.0152 0.01508 9.30000 1.1000000238 2.4916803837    1.099  0.165  3.7867  4.414    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -9.3e-14      0.00 7.347e-01 2.512e-01 2.497e-03 6.825e-04 6.205e-03 -1.000 1.409e-02 4.359 4.217 4.497 4.519 3.794
