Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.01471 0.00000 7.14613 0.0900000036 1.0816895962    0.090 -2.163  3.4012  4.112    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.56e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.177 17.612 16.073 14.571 12.702 10.595 8.132 7.552 7.173
0.01471 0.00000 7.14613 0.1000000015 1.1711064577    0.100 -2.098  3.4081  4.120    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.8e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.014 17.462 15.916 14.412 12.541 10.433 7.969 7.389 7.010
0.01471 0.00000 7.14613 0.1200000048 1.3193155527    0.120 -1.982  3.4201  4.131    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.29e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.725 17.086 15.548 14.043 12.196 10.107 7.685 7.104 6.728
0.01471 0.00000 7.14613 0.1292197257 1.3772124052    0.129 -1.934  3.4252  4.136    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.52e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.606 16.770 15.267 13.765 11.967 9.917 7.576 6.993 6.623
0.01471 0.00000 7.14613 0.1445312500 1.4623914957    0.144 -1.862  3.4330  4.144    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.89e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.426 16.296 14.843 13.351 11.625 9.633 7.410 6.825 6.463
0.01471 0.00000 7.14613 0.1586393714 1.5310894251    0.159 -1.801  3.4401  4.151    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.24e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.272 15.894 14.482 13.006 11.340 9.395 7.269 6.682 6.328
0.01471 0.00000 7.14613 0.1705334485 1.5831084251    0.171 -1.755  3.4452  4.158    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.5e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.157 15.608 14.222 12.757 11.133 9.222 7.163 6.574 6.228
0.01471 0.00000 7.14613 0.1812594980 1.6261279583    0.181 -1.714  3.4496  4.161    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.8e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.056 15.359 13.997 12.541 10.953 9.072 7.069 6.479 6.138
0.01471 0.00000 7.14613 0.1956770718 1.6790040731    0.196 -1.664  3.4552  4.167    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.14e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.931 15.062 13.723 12.272 10.729 8.890 6.956 6.363 6.029
0.01471 0.00000 7.14613 0.2085666806 1.7221581936    0.209 -1.624  3.4597  4.172    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.44e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.829 14.821 13.501 12.053 10.546 8.743 6.863 6.269 5.941
0.01471 0.00000 7.14613 0.2269123495 1.7779357433    0.227 -1.569  3.4656  4.178    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.87e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.693 14.527 13.225 11.786 10.321 8.557 6.738 6.140 5.821
0.01471 0.00000 7.14613 0.2469038069 1.8324030638    0.247 -1.515  3.4716  4.184    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.33e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.557 14.234 12.950 11.520 10.095 8.371 6.613 6.011 5.700
0.01471 0.00000 7.14613 0.2667680979 1.8811227083    0.267 -1.465  3.4773  4.190    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.77e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.433 13.975 12.703 11.279 9.890 8.206 6.501 5.895 5.592
0.01471 0.00000 7.14613 0.2957581580 1.9443402290    0.296 -1.398  3.4850  4.199    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.43e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.266 13.635 12.375 10.951 9.608 7.984 6.352 5.738 5.445
0.01471 0.00000 7.14613 0.3000000119 1.9529139996    0.300 -1.389  3.4860  4.200    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.53e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.243 13.589 12.329 10.905 9.568 7.954 6.331 5.717 5.425
0.01471 0.00000 7.14613 0.3176545501 1.9869754314    0.318 -1.354  3.4900  4.206    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.88e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.155 13.417 12.160 10.734 9.419 7.839 6.254 5.635 5.348
0.01471 0.00000 7.14613 0.3500000238 2.0434176922    0.350 -1.293  3.4971  4.215    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.55e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.002 13.129 11.877 10.463 9.187 7.647 6.117 5.489 5.212
0.01471 0.00000 7.14613 0.3986672163 2.1166622639    0.399 -1.211  3.5063  4.227    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.54e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.798 12.760 11.510 10.112 8.883 7.396 5.933 5.294 5.028
0.01471 0.00000 7.14613 0.4000000358 2.1185026169    0.400 -1.209  3.5065  4.227    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.57e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.793 12.751 11.501 10.103 8.875 7.390 5.929 5.289 5.024
0.01471 0.00000 7.14613 0.4148050547 2.1384234428    0.415 -1.187  3.5093  4.232    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.84e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.737 12.647 11.398 10.004 8.789 7.320 5.879 5.236 4.974
0.01471 0.00000 7.14613 0.4500000179 2.1822810173    0.450 -1.135  3.5156  4.240    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.05e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.608 12.421 11.167 9.779 8.594 7.163 5.765 5.113 4.858
0.01471 0.00000 7.14613 0.4637163877 2.1981823444    0.464 -1.117  3.5180  4.245    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.08e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.563 12.339 11.083 9.697 8.524 7.107 5.726 5.071 4.819
0.01471 0.00000 7.14613 0.5000000000 2.2374541759    0.500 -1.069  3.5242  4.255    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.14e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.443 12.134 10.868 9.486 8.340 6.962 5.622 4.959 4.713
0.01471 0.00000 7.14613 0.5199014544 2.2570703030    0.520 -1.044  3.5277  4.261    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.18e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.381 12.023 10.752 9.371 8.240 6.886 5.569 4.902 4.659
0.01471 0.00000 7.14613 0.5466001630 2.2808234692    0.546 -1.011  3.5319  4.267    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.23e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.298 11.886 10.607 9.229 8.115 6.788 5.498 4.825 4.586
0.01471 0.00000 7.14613 0.5500000119 2.2836582661    0.550 -1.007  3.5324  4.267    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.24e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.289 11.870 10.590 9.212 8.100 6.776 5.489 4.816 4.577
0.01471 0.00000 7.14613 0.5591886044 2.2911224365    0.559 -0.997  3.5341  4.271    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.25e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.263 11.825 10.541 9.164 8.059 6.745 5.468 4.793 4.556
