Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.01471 0.00000 7.31175 0.0900000036 1.0816895962    0.090 -2.273  3.4033  4.230    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.74e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.452 18.075 16.426 14.893 12.998 10.874 8.403 7.820 7.449
0.01471 0.00000 7.31175 0.0958307385 1.1353040934    0.096 -2.233  3.4076  4.235    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.83e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.353 17.985 16.331 14.796 12.900 10.775 8.304 7.721 7.350
0.01471 0.00000 7.31175 0.1000000015 1.1711064577    0.100 -2.205  3.4106  4.237    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.91e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.282 17.917 16.261 14.726 12.829 10.704 8.233 7.650 7.279
0.01471 0.00000 7.31175 0.1125745773 1.2683107853    0.113 -2.128  3.4188  4.245    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.13e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.091 17.657 16.011 14.476 12.597 10.486 8.046 7.462 7.093
0.01471 0.00000 7.31175 0.1200000048 1.3193155527    0.120 -2.086  3.4232  4.248    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.27e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.984 17.391 15.777 14.245 12.405 10.325 7.947 7.362 6.997
0.01471 0.00000 7.31175 0.1400000006 1.4384527206    0.140 -1.984  3.4343  4.257    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.63e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.729 16.698 15.168 13.653 11.919 9.922 7.713 7.125 6.770
0.01471 0.00000 7.31175 0.1542331874 1.5105150938    0.154 -1.920  3.4416  4.265    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.87e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.571 16.275 14.793 13.295 11.623 9.676 7.568 6.978 6.631
0.01471 0.00000 7.31175 0.1601713747 1.5380697250    0.160 -1.896  3.4445  4.268    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.97e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.509 16.114 14.649 13.157 11.510 9.583 7.512 6.921 6.578
0.01471 0.00000 7.31175 0.1803308725 1.6225358248    0.180 -1.818  3.4528  4.275    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.31e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.315 15.637 14.219 12.742 11.164 9.298 7.334 6.740 6.407
0.01471 0.00000 7.31175 0.1937030554 1.6720687151    0.194 -1.772  3.4578  4.280    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.52e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.199 15.358 13.966 12.493 10.957 9.131 7.229 6.633 6.305
0.01471 0.00000 7.31175 0.2010395974 1.6973941326    0.201 -1.749  3.4605  4.284    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.62e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.142 15.217 13.837 12.367 10.852 9.047 7.177 6.580 6.255
0.01471 0.00000 7.31175 0.2114052474 1.7311972380    0.211 -1.715  3.4638  4.286    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.83e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.058 15.037 13.671 12.206 10.716 8.934 7.100 6.501 6.181
0.01471 0.00000 7.31175 0.2299208641 1.7865233421    0.230 -1.661  3.4696  4.291    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.14e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.922 14.738 13.395 11.939 10.491 8.749 6.975 6.373 6.061
0.01471 0.00000 7.31175 0.2500000000 1.8403258324    0.250 -1.607  3.4753  4.296    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.48e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.787 14.450 13.126 11.677 10.268 8.569 6.851 6.246 5.941
0.01471 0.00000 7.31175 0.2709661126 1.8908170462    0.271 -1.556  3.4809  4.302    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.8e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.659 14.179 12.871 11.428 10.055 8.398 6.736 6.127 5.829
0.01471 0.00000 7.31175 0.3000000119 1.9529139996    0.300 -1.490  3.4882  4.309    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.27e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.494 13.844 12.549 11.103 9.775 8.183 6.590 5.974 5.685
0.01471 0.00000 7.31175 0.3246496022 1.9997973442    0.325 -1.441  3.4934  4.316    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.62e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.372 13.612 12.323 10.884 9.585 8.029 6.480 5.859 5.577
0.01471 0.00000 7.31175 0.3500000238 2.0434176922    0.350 -1.394  3.4984  4.322    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -6e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.255 13.390 12.109 10.679 9.408 7.883 6.374 5.748 5.472
0.01471 0.00000 7.31175 0.4000000358 2.1185026169    0.400 -1.310  3.5074  4.332    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.72e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.045 13.012 11.738 10.323 9.100 7.628 6.184 5.548 5.283
0.01471 0.00000 7.31175 0.4256491661 2.1524374485    0.425 -1.271  3.5120  4.337    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.09e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.946 12.834 11.561 10.153 8.952 7.508 6.096 5.454 5.195
0.01471 0.00000 7.31175 0.4500000179 2.1822810173    0.450 -1.235  3.5161  4.342    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.44e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.857 12.678 11.404 10.001 8.819 7.400 6.016 5.370 5.115
0.01471 0.00000 7.31175 0.4674983919 2.2024595737    0.467 -1.211  3.5191  4.347    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.68e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.797 12.569 11.295 9.895 8.726 7.327 5.963 5.313 5.061
0.01471 0.00000 7.31175 0.5000000000 2.2374541759    0.500 -1.167  3.5244  4.353    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.16e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.686 12.382 11.102 9.706 8.561 7.195 5.867 5.211 4.964
0.01471 0.00000 7.31175 0.5177180767 2.2550027370    0.518 -1.144  3.5276  4.358    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.41e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.629 12.279 10.997 9.603 8.471 7.126 5.817 5.158 4.913
