Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.01471 0.00000 8.00000 0.0900000036 1.2268934250    0.090 -2.753  3.4028  4.709    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.31e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.652 20.047 17.937 16.261 14.256 12.074 9.589 8.994 8.658
0.01471 0.00000 8.00000 0.0928532481 1.2522817850    0.093 -2.730  3.4060  4.712    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.42e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.595 19.996 17.882 16.205 14.199 12.016 9.532 8.937 8.602
0.01471 0.00000 8.00000 0.1000000015 1.3127751350    0.100 -2.673  3.4142  4.720    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.73e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.452 19.864 17.743 16.064 14.056 11.873 9.389 8.793 8.458
0.01471 0.00000 8.00000 0.1005477011 1.3172396421    0.101 -2.669  3.4147  4.720    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.75e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.442 19.856 17.734 16.055 14.047 11.863 9.379 8.784 8.449
0.01471 0.00000 8.00000 0.1111151651 1.3986864090    0.111 -2.595  3.4243  4.728    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.2e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.257 19.329 17.297 15.633 13.702 11.577 9.209 8.612 8.280
0.01471 0.00000 8.00000 0.1200000048 1.4610745907    0.120 -2.536  3.4325  4.735    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.58e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.110 18.789 16.858 15.215 13.374 11.316 9.081 8.481 8.153
0.01471 0.00000 8.00000 0.1392779052 1.5806992054    0.139 -2.434  3.4443  4.745    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.32e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.855 18.042 16.227 14.619 12.891 10.920 8.851 8.248 7.928
0.01471 0.00000 8.00000 0.1400000006 1.5848021507    0.140 -2.431  3.4447  4.745    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.35e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.846 18.017 16.205 14.598 12.874 10.907 8.843 8.240 7.920
0.01471 0.00000 8.00000 0.1402355582 1.5861352682    0.140 -2.429  3.4448  4.745    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.36e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.843 18.008 16.198 14.591 12.868 10.902 8.840 8.237 7.918
0.01471 0.00000 8.00000 0.1599999964 1.6895382404    0.160 -2.336  3.4557  4.753    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.16e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.611 17.341 15.629 14.046 12.426 10.550 8.632 8.026 7.714
0.01471 0.00000 8.00000 0.1994030327 1.8550593853    0.199 -2.186  3.4723  4.765    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -7.7e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.235 16.373 14.788 13.238 11.760 10.020 8.293 7.683 7.386
0.01471 0.00000 8.00000 0.2000000030 1.8572380543    0.200 -2.184  3.4725  4.765    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.72e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.230 16.361 14.777 13.227 11.752 10.013 8.289 7.678 7.381
0.01471 0.00000 8.00000 0.2154091895 1.9105339050    0.215 -2.134  3.4776  4.768    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.31e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.105 16.068 14.517 12.977 11.542 9.847 8.176 7.564 7.272
0.01471 0.00000 8.00000 0.2500000000 2.0129647255    0.250 -2.033  3.4880  4.773    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.68e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.853 15.497 14.004 12.473 11.114 9.516 7.950 7.334 7.051
0.01471 0.00000 8.00000 0.2828295529 2.0929746628    0.283 -1.949  3.4958  4.774    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.1e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.642 15.072 13.618 12.102 10.794 9.258 7.758 7.139 6.864
0.01471 0.00000 8.00000 0.3000000119 2.1294965744    0.300 -1.908  3.4995  4.773    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.18e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.541 14.872 13.435 11.928 10.644 9.135 7.665 7.044 6.773
0.01471 0.00000 8.00000 0.3500000238 2.2197833061    0.350 -1.794  3.5098  4.767    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.43e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.254 14.335 12.941 11.458 10.233 8.796 7.401 6.775 6.514
0.01471 0.00000 8.00000 0.4000000358 2.2915143967    0.400 -1.679  3.5205  4.753    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.77e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.967 13.817 12.456 10.995 9.825 8.462 7.140 6.506 6.255
0.01471 0.00000 8.00000 0.4500000179 2.3497259617    0.450 -1.555  3.5326  4.728    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.28e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.657 13.286 11.947 10.509 9.392 8.110 6.861 6.218 5.977
